"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1951","Проверка: Нельзя войти с неверным паролем","tests","2026-09-23","passed","2026-09-23","TestLogin","test_login","",""
"","1106","Проверка: Нельзя создать пользователя без заполненного обязательного поля","tests","2026-09-23","passed","2026-09-23","TestCreateUser","test_create_user","",""
"","1230","Проверка: Нельзя создать пользователя, который уже зарегистрирован","tests","2026-09-23","passed","2026-09-23","TestCreateUser","test_create_user","",""
"","1101","Проверка: Можно войти под существующим пользователем","tests","2026-09-23","passed","2026-09-23","TestLogin","test_login","",""
"","1084","Проверка: Нельзя создать пользователя без заполненного обязательного поля","tests","2026-09-23","passed","2026-09-23","TestCreateUser","test_create_user","",""
"","1362","Проверка: нельзя создать заказ с неверным хешем ингредиента","tests","2026-09-23","passed","2026-09-23","TestCreateOrder","test_create_order","",""
"","3247","Проверка: можно-ли создать пользователя","tests","2026-09-23","passed","2026-09-23","TestCreateUser","test_create_user","",""
"","1481","Проверка: нельзя создать заказ без ингредиентов","tests","2026-09-23","passed","2026-09-23","TestCreateOrder","test_create_order","",""
"","1515","Проверка: Нельзя создать пользователя без заполненного обязательного поля","tests","2026-09-23","passed","2026-09-23","TestCreateUser","test_create_user","",""
"","2165","Проверка: можно-ли создать заказ без авторизации","tests","2026-09-23","passed","2026-09-23","TestCreateOrder","test_create_order","",""
"","5911","Проверка: создания заказа с авторизацией и ингредиентами","tests","2026-09-23","passed","2026-09-23","TestCreateOrder","test_create_order","",""
